"Name","House","Expansion – #","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"1-2 Punch","Brobnar","AGE_OF_ASCENSION – 001","1.5","0","1","0","0","0.5","0","0","0","0","0","1","0","0","10504","10875","[object Object]","stuns – 1 – anyHouse","","Play: Stun an enemy creature.If that creature was already stunned, destroy it instead.","Giants can count past two, but why bother?"
"Anger","Brobnar","CALL_OF_THE_ARCHONS – 001","1.5","0","1","0","0","0.25","0","0","0","0.25","0","1","0","0","21508","19817","[object Object]","","","Play: Ready and fight with a friendly creature.","“Don’t make them angry you say? Heh. The Brobnar are born angry.” –Old Bruno"
"Barehanded","Brobnar","CALL_OF_THE_ARCHONS – 002 | AGE_OF_ASCENSION – 033","2","0","1","0","0.5","0","0","0","0.5","0","0","1","0","0","3560","3509","[object Object] | [object Object]","lowArtifactCount – 2 – anyHouse | highArtifactCount – -2 – anyHouse","","Play: Put each artifact on top of its owner’s deck.",""
"Bingle Bangbang","Brobnar","AGE_OF_ASCENSION – 002","1.1","0","0","0","0","0.5","2","0","0","0","0","0","2","0","10259","11286","[object Object]","","Goblin","Before Fight: Deal 5D to each neighbor of the creature Bingle Bangbang fights.","“Boom!”"
"Blood Money","Brobnar","CALL_OF_THE_ARCHONS – 003 | AGE_OF_ASCENSION – 017","1.5","0","1.5","0","0","0","0","0","0","0","0","0","0","0","11007","10807","[object Object]","","","Play: Place 2<A> from the common supply on an enemy creature.","“You! Æmber lover. You’re next.”"
"Brammo","Brobnar","AGE_OF_ASCENSION – 003","1.65","0","0","0","0","0.75","5","0","0","0","0","0","4","1","11206","11451","[object Object] | [object Object] | [object Object]","","Knight,Giant","Play: Deal 2D to each enemy flank creature.","“Is that short for Brammunition?”– Dodger"
"Brothers in Battle","Brobnar","CALL_OF_THE_ARCHONS – 004","1.5","0","1","0","0","0","0","0","0","0.5","0","1","0","0","2358","2185","[object Object]","highTotalCreaturePower – 2 – anyHouse | goodFight – 1 – outOfHouse | lowTotalCreaturePower – -2 – anyHouse","","Play: Choose a house. For the remainder of the turn, each friendly creature of that house may fight.",""
"Burn the Stockpile","Brobnar","CALL_OF_THE_ARCHONS – 005 | AGE_OF_ASCENSION – 019","2","2","0","0","0","0","0","0","0","0","0","0","0","0","11436","11015","","increasesKeyCost – 2 – anyHouse | capturesAmber – 1 – house","","Play: If your opponent has 7<A> or more, they lose 4<A>.","“If you can’t protect it, you don’t deserve it.” –Bilgum Avalanche"
"Cowfyne","Brobnar","AGE_OF_ASCENSION – 005","1.65","0","0","0","0","0.75","5","0","0","0","0","0","5","0","10906","11152","[object Object]","","Giant","Before Fight: Deal 2D to each neighbor of the creature Cowfyne fights.","“Ya got beef with me?”"
"Champion’s Challenge","Brobnar","CALL_OF_THE_ARCHONS – 006 | AGE_OF_ASCENSION – 036","3","0","0","0","0","3","0","0","0","0","0","0","0","0","4102","3849","[object Object] | [object Object] | [object Object]","lowCreatureCount – 2 – anyHouse | highCreatureCount – -2 – anyHouse","","Play: Destroy each enemy creature except the most powerful enemy creature. Destroy each friendly creature except the most powerful friendly creature. Ready and fight with your remaining creature.",""
